ID,Title,Trailer ID,SentimentScore
0,Daybreakers,U6NmZS9CTKE,0.6428571428571429
1,Leap Year,HrlQBsd8LsE,0.83
2,Youth in Revolt,1gBnVf130uU,0.78
3,Wonderful World,n2_4asPVgOQ,0.5
4,The Book of Eli,zSMHmtaoXtI,0.88
5,The Spy Next Door,fa2RZf0m39g,0.58
6,Fish Tank,_u6pg8fuSB4,0.6
7,Extraordinary Measures,cmnMdwYAhTY,0.6458333333333334
8,Legion,P6p01-in6-k,0.74
9,Tooth Fairy,JqnjK79fGSw,0.7
11,To Save a Life,1o56pazEh-Q,0.73
12,Edge of Darkness,hVOH8xrCI9I,0.5
13,When in Rome,5oImkzL6o_o,1.0
14,Preacher's Kid,yNbXH34dIOw,0.5
15,Saint John of Las Vegas,aPTm_TyCULk,0.6153846153846154
16,Ajami,Q6M-ng9XLyU,0.3888888888888889
17,Dear John,r0fq5dd0C60,0.63
18,From Paris with Love,nrcej3bN8QA,0.3846153846153846
19,District 13: Ultimatum,jDDFNpj9xBQ,0.5694444444444444
20,Shinjuku Incident,tY0jZIeuFAc,0.5652173913043478
21,Percy Jackson & the Olympians: The Lightning Thief,R86InkfdboA,0.44
22,Valentine's Day,1K45RdE2qlk,0.76
23,The Wolfman,5JB1NY2xut8,0.79
24,Lourdes,4Dw0blEi9YA,0.0
25,The Ghost Writer,B3NrIz5lwVo,0.7272727272727273
26,Shutter Island,v8yrZSkKxTA,0.73
27,The Good Guy,3rE3mPAtnWA,0.4787234042553192
28,Cop Out,22RvcEgrpnE,0.40625
29,The Crazies,J7w9uWFIMBs,0.7
30,Formosa Betrayed,2KbAGhECVZE,0.4
31,A Prophet,l69ARbQt-Ko,0.67
32,Alice in Wonderland,9POCgSRVvf0,0.82
33,Brooklyn's Finest,HUMC8rh6uuE,0.8
34,Green Zone,e3KJ21TLKVE,0.7
35,Remember Me,oRUo4cWejYM,0.5
36,She's Out of My League,3F0XwZex1jQ,0.59
37,Monsters,Ol6j9xlQN1w,0.5
38,The Bounty Hunter,KSTJsjEaUaw,0.6363636363636364
39,Diary of a Wimpy Kid,VKhCPUa-glo,0.53
40,Repo Men,P0LkMrPMMhw,0.46
41,City Island,wuQam8fRJrI,0.875
42,Greenberg,cwdliqOGTLw,0.4929577464788732
43,The Runaways,atUDd3ST3ko,0.5294117647058824
44,Hot Tub Time Machine,EM0VwEkxWTg,0.61
46,Chloe,QZ8x8mORPmg,0.48
47,The Last Song,l6Q07mI1EUc,0.5490196078431373
48,Clash of the Titans,z7cEL6n24d4,0.5858585858585859
49,Why Did I Get Married Too?,H0IgfAs3tWg,0.4
50,The Greatest,TfjNuq9Yq3s,0.5774647887323944
51,Date Night,aspBKFz2dBI,0.8
54,Death at a Funeral,LkbR3nQqcrk,0.65
55,Kick-Ass,2rpXHqnGDXo,0.59
57,The Joneses,102fYNaBogE,0.4444444444444444
58,Oceans,uXLbQrK6cXw,0.88
59,The Back-up Plan,cut4IW0oz1w,0.59
60,The Losers,PXAy4p9RVq0,0.3333333333333333
61,Boogie Woogie,2SzNnR6OElw,0.6
62,Furry Vengeance,FQAx4_So3UE,0.53
63,A Nightmare on Elm Street,ZuYoEtEI_go,0.52
64,Freakonomics,03FwPdQ4Gew,0.5
65,Harry Brown,-ubzuRLiIpE,0.5
66,Please Give,KNbPnqyvItk,0.77
67,Iron Man 2,BoohRoVA9WQ,0.52
68,Mother and Child,PyWFxUkPpag,0.75
69,Just Wright,ZHYSeSAXQf4,0.81
70,Letters to Juliet,8j0qMY-LeKM,0.82
72,Here and There,N-ewaCVARtM,0.77
73,Princess Kaiulani,YyIUR7TXldg,0.54
74,MacGruber,PKYrghKwu2E,0.5161290322580645
76,John Rabe,eTR97Yvspx4,0.4666666666666667
77,Kites,rezNHSKgDH0,0.77
78,Solitary Man,lm95_LnjUJQ,0.4736842105263157
79,Sex and the City 2,pY7sAJm8Fuk,0.4421052631578947
80,Prince of Persia: The Sands of Time,bZ7Li5w2I-k,0.86
82,Micmacs,TjKW0tG7I8s,0.723404255319149
84,Get Him to the Greek,scixoG_Tzdo,0.4057971014492754
85,Killers,jE-i7GnoCCA,0.63
86,Marmaduke,AXXzwy7lDtI&t=7s,0.61
87,Splice,8pIeSYhipUs,0.43
88,Ondine,rs8DiJaLhlY,0.6
89,The A-Team,II3O4FUoSho,0.5573770491803278
90,The Karate Kid,XY8amUImEu0,0.63
91,Coco Chanel & Igor Stravinsky,O8yVI81zGXI,0.0
92,Winter's Bone,bE_X2pDRXyY,0.8
93,Jonah Hex,GVukfleQl_c,0.5
95,8: The Mormon Proposition,ezwIZo-hKiI,0.4
96,Cyrus,0G0bYpMQ-fI,0.58
97,I Am Love,0NjA8CIDvZ8,0.5942028985507246
98,The Killer Inside Me,1I4rDHxzeCg,0.4772727272727273
99,Knight and Day,JGPl86DBNNs,0.8
100,Grown Ups,e01NVCveGkg,0.71
101,Wild Grass,rm_f1DOhidI,0.0
102,The Twilight Saga: Eclipse,kX2DKZcDM-o,0.52
103,Love Ranch,ueoXN7TK47k,0.6666666666666666
104,The Last Airbender,-egQ79OrYCs,0.35
